state,county,n_hosts,n_targets_captured,n_targets_gap,any_robots,all_hosts_robots,crawl_delay,blocks_all_star,n_targets_disallowed,blocks_ai_bots,robots_403,has_legal_page,legal_403,tos_anti_scraping,tos_permission_required,tos_commercial_use
TX,anderson,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,andrews,1,6,0,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,angelina,1,2,4,true,true,,false,0,false,false,false,false,false,false,false
TX,aransas,2,5,1,true,false,,true,0,true,false,false,false,false,false,false
TX,archer,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,armstrong,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,atascosa,2,4,2,true,true,,true,1,false,false,true,false,false,false,false
TX,austin,2,3,3,false,false,,false,0,false,false,false,false,false,false,false
TX,bailey,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,bandera,1,5,1,false,false,,false,0,false,false,false,false,false,false,false
TX,bastrop,2,6,0,true,false,,false,0,false,false,false,false,false,false,false
TX,baylor,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,bee,1,3,3,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,bell,2,5,1,true,false,,true,4,false,false,true,false,false,true,false
TX,bexar,3,6,0,true,false,20.0,false,0,false,false,false,false,false,false,false
TX,blanco,1,3,3,false,false,,false,0,false,false,false,false,false,false,false
TX,borden,1,2,4,false,false,,false,0,false,false,true,false,false,false,false
TX,bosque,1,2,4,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,bowie,1,5,1,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,brazoria,2,2,4,true,true,,false,0,false,false,true,false,false,false,false
TX,brazos,2,6,0,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,brewster,1,3,3,false,false,,false,0,false,false,false,false,false,false,false
TX,briscoe,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,brooks,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,brown,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,burleson,1,5,1,false,false,,false,0,false,false,false,false,false,false,false
TX,burnet,2,6,0,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,caldwell,1,6,0,false,false,,false,0,false,false,false,false,false,false,false
TX,calhoun,1,4,2,true,true,,false,0,false,false,false,false,false,false,false
TX,callahan,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,cameron,2,6,0,true,true,,false,0,false,false,false,false,false,false,false
TX,camp,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,carson,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,cass,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,castro,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,chambers,1,5,1,true,true,20.0,false,0,false,false,false,false,false,false,false
TX,cherokee,1,3,3,false,false,,false,0,false,false,false,false,false,false,false
TX,childress,1,2,4,false,false,,false,0,false,false,false,false,false,false,false
TX,clay,2,3,3,true,false,,false,0,true,false,true,false,false,false,false
